billboard_id,latitude,longitude,state_full,state_abbrev,campaign,url,message,street_view_date,mentions_bible_jesus_christians,mentions_n,mentions_y,no_message,image
1354,32.5334,-93.6573,Louisiana,LA,,"https://www.google.com/maps/@32.5326484,-93.6577311,3a,29.6y,24.59h,89.05t/data=!3m6!1e1!3m4!1sSjCvfmRktkQ0MAjxLHZTEQ!2e0!7i13312!8i6656",Who is Jesus? Read Matthew's Gospel,16-Dec,Y,,Y,,https://s18.postimg.org/nrha0m7vd/1354.png
1433,41.5351,-83.6456,Ohio,OH,,"https://www.google.com/maps/@41.5327841,-83.6473079,3a,20y,27.68h,91t/data=!3m6!1e1!3m4!1s4kA4sS2SqcBolW3OG_EK7A!2e0!7i13312!8i6656",Read the Bible! Truth. Wisdom. Hope.,16-Nov,Y,,Y,,https://s17.postimg.org/67vs5r2sv/1433.png
1444,43.053,-76.2405,New York,NY,,"https://www.google.com/maps/@43.053686,-76.2407755,3a,23.3y,179.6h,96.02t/data=!3m7!1e1!3m5!1sLDhUrr7HwHYGrWGgmX37tw!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DLDhUrr7HwHYGrWGgmX37tw%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%",Read the Bible! Truth. Wisdom. Hope.,16-Nov,Y,,Y,,https://s17.postimg.org/43bf4rocf/1444.png
1461,48.1453,-117.1418,Washington,WA,,"https://www.google.com/maps/@48.1457013,-117.1411077,3a,36.6y,290.68h,92.82t/data=!3m6!1e1!3m4!1sU4IyyA2fD5GJk1SA-8WxCA!2e0!7i13312!8i6656",Read the Bible! Truth. Wisdom. Hope.,16-Sep,Y,,Y,,https://s17.postimg.org/vdwqctoq7/1461.png
1537,32.966992,-83.820699,Georgia,GA,,"https://www.google.com/maps/@32.9664462,-83.8207167,3a,75y,320.59h,99.53t/data=!3m6!1e1!3m4!1sBO7MJJ2RKyLDPT4PBnQKAQ!2e0!7i13312!8i6656",Real Christians obey Jesus' teachings,17-Feb,Y,,Y,,https://s18.postimg.org/oh02d3b0p/1537.png
1538,36.047358,-79.768094,North Carolina,NC,,"https://www.google.com/maps/@36.0476752,-79.7683583,3a,75y,180.09h,99.95t/data=!3m7!1e1!3m5!1sRbvMSRN0JQY_GJJ3RkTYkA!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DRbvMSRN0JQY_GJJ3RkTYkA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%",Real Christians obey Jesus' teachings,17-Apr,Y,,Y,,https://s18.postimg.org/sz2d59bnt/1538.png
1547,34.20602,-79.94133,South Carolina,SC,,"https://www.google.com/maps/@34.2063468,-79.9410525,3a,75y,233.91h,100.92t/data=!3m7!1e1!3m5!1s4PiT1rOTH626w45QRy_44A!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3D4PiT1rOTH626w45QRy_44A%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w",Read the Bible! Truth. Wisdom. Hope.,17-Apr,Y,,Y,,https://s18.postimg.org/9mbgytlzd/1547.png
1578,29.465336,-95.349805,Texas,TX,,"https://www.google.com/maps/@29.4650751,-95.3496676,3a,43.6y,355.07h,100.46t/data=!3m6!1e1!3m4!1so2eI-BaEoCuxVglxBOMZwA!2e0!7i13312!8i6656",Who is Jesus? Read Matthew's Gospel,17-Feb,Y,,Y,,https://s18.postimg.org/lvpwc2wbt/1578.png
1583,35.8746,-84.2463,Tennessee,TN,,"https://www.google.com/maps/@35.8740808,-84.2462124,3a,28.3y,345.83h,97.68t/data=!3m6!1e1!3m4!1sVIn6NXgDvi7ENfzDesZuPQ!2e0!7i13312!8i6656",Real Christians obey Jesus' teachings,17-Feb,Y,,Y,,https://s18.postimg.org/z6dr5gx55/1583.png
1584,35.554,-97.4566,Oklahoma,OK,,"https://www.google.com/maps/@35.5535734,-97.4555973,3a,32.9y,285.11h,89.49t/data=!3m6!1e1!3m4!1sMbLfACdMP9itvHesSgkk2Q!2e0!7i13312!8i6656",Who is Jesus? Read Matthew's Gospel,17-Apr,Y,,Y,,https://s18.postimg.org/3mnpv8ls9/1584.png
1601_2,31.9181,-81.3273,Georgia,GA,,"https://www.google.com/maps/@31.918785,-81.3282928,3a,21.6y,137.11h,87.02t/data=!3m6!1e1!3m4!1sCr3v-UDs5W9Lf-UOuiChHA!2e0!7i13312!8i6656",Real Christians obey Jesus' teachings,17-Jan,Y,,Y,,https://s18.postimg.org/oh02cvsyh/1601_2.png
1621,38.9526,-92.0899,Montana,MO,,"https://www.google.com/maps/@38.9530849,-92.0907277,3a,56.6y,115.92h,94.22t/data=!3m6!1e1!3m4!1s8B4efHZJglUWs_a_BzyZqA!2e0!7i13312!8i6656",Who is Jesus? Read Matthew's Gospel,16-Jun,Y,,Y,,https://s17.postimg.org/i8h86nxen/1621.png
1622,34.905,-80.9861,South Carolina,SC,,"https://www.google.com/maps/@34.9054186,-80.9863951,3a,45.8y,177.43h,101.39t/data=!3m6!1e1!3m4!1suLzce4bHTICN9v3CMKuUvQ!2e0!7i13312!8i6656",Real Christians obey Jesus' teachings,17-Jan,Y,,Y,,https://s18.postimg.org/mdpn57609/1622.png
1773,37.927911,-121.294135,California,CA,,"https://www.google.com/maps/@37.9282129,-121.2949138,3a,21.6y,118.41h,87.2t/data=!3m6!1e1!3m4!1sobateoZoeZASS56eY8hmqw!2e0!7i13312!8i6656",Real Christians love their enemies,17-Mar,Y,,Y,,https://s17.postimg.org/whguog99r/1773.png
