billboard_id,latitude,longitude,state_full,state_abbrev,campaign,url,message,street_view_date,mentions_bible_jesus_christians,mentions_n,mentions_y,image
1663,45.9178,-94.3439,Minnesota,MN,,"https://www.google.com/maps/@45.918379,-94.3450568,3a,15y,139.1h,89.65t/data=!3m6!1e1!3m4!1sMb_O6JH5ZQb2WxlcOBIPhA!2e0!7i13312!8i6656",The Holy Bible. Inspired. Absolute. Final.,16-Aug,Y,,Y,https://s17.postimg.org/4g2tazgwv/1633.png
1692,32.916274,-96.744374,Texas,TX,,"https://www.google.com/maps/@32.9162904,-96.7438812,3a,60y,289.33h,90.25t/data=!3m6!1e1!3m4!1sOYEguDMuPK29njNiEA0OiA!2e0!7i13312!8i6656",Lust drags you down to hell,17-Mar,N,N,,https://s18.postimg.org/lzob5sw95/1692.png
1694,30.333836,-81.670148,Florida,FL,,"https://www.google.com/maps/@30.3343171,-81.6701759,3a,19.7y,178.77h,90.99t/data=!3m6!1e1!3m4!1sBoPAzt0-XOHt50tVU_gnmQ!2e0!7i13312!8i6656",Real Christians obey Jesus' teachings,17-Jan,Y,,Y,https://s18.postimg.org/4xqvq7zsp/1694.png
1699,35.193643,-89.995824,Tennessee,TN,,"https://www.google.com/maps/@35.1926496,-89.9973051,3a,16y,41.78h,94.66t/data=!3m6!1e1!3m4!1sfHbWycULk6brnFHnmZNb9w!2e0!7i13312!8i6656",Real Christians obey Jesus' teachings,17-Apr,Y,,Y,https://s18.postimg.org/89trwqtmx/1699.png
1700,39.126542,-94.496517,Montana,MO,,"https://www.google.com/maps/@39.1268057,-94.4974016,3a,15y,112.64h,93.37t/data=!3m6!1e1!3m4!1s7vbWkWf2wx0bdDyS4OMLQA!2e0!7i13312!8i6656",Read the Bible! Truth. Wisdom. Hope.,17-Apr,Y,,Y,https://s17.postimg.org/3qk0y7nyn/1700.png
1702,32.751022,-96.771105,Texas,TX,,"https://www.google.com/maps/@32.7506253,-96.7703595,3a,16.6y,300.9h,90.74t/data=!3m6!1e1!3m4!1swMdPqZ6oCiqwWw1KZSDj_Q!2e0!7i13312!8i6656",Real Christians obey Jesus' teachings,17-Feb,Y,,Y,https://s18.postimg.org/hds6xespl/1702.png
1705,32.086538,-96.438286,Texas,TX,,"https://www.google.com/maps/@32.0861833,-96.438854,3a,18.3y,63.85h,93.01t/data=!3m6!1e1!3m4!1sc2RJsjC2TcsfPhgjzQRAsQ!2e0!7i13312!8i6656",Jesus your only way to God.,17-Jan,N,N,,https://s18.postimg.org/5bwt3941l/1705.png
1711,39.154262,-94.506835,Montana,MO,,"https://www.google.com/maps/@39.1551342,-94.506575,3a,15.6y,194.45h,88.92t/data=!3m6!1e1!3m4!1sv956cfMXZiDXPl8TmowwxQ!2e0!7i13312!8i6656","After you die, you will meet God.",17-Apr,N,N,,https://s17.postimg.org/imik5uhdr/1711.png
1752,29.80974024,-95.33945708,Texas,TX,,"https://www.google.com/maps/@29.8094268,-95.3403313,3a,21.5y,67.98h,92.5t/data=!3m6!1e1!3m4!1snji3NTzvrBgBNgajoQq5TQ!2e0!7i13312!8i6656",Real Christians obey Jesus' teachings,17-Apr,Y,,Y,https://s18.postimg.org/t07pl5lll/1752.png
1762,37.72655,-122.19906,California,CA,,"https://www.google.com/maps/@37.7263697,-122.1989613,3a,75y,351.48h,92.46t/data=!3m6!1e1!3m4!1s3XP9SJfeWBmLpObFjJfrWg!2e0!7i13312!8i6656","After you die, you will meet God.",17-Apr,N,N,,https://s17.postimg.org/gs5pog26n/1762.png
704,33.709625,-116.15256,California,CA,,"https://www.google.com/maps/@33.7104801,-116.1531578,3a,27.2y,164.59h,88.43t/data=!3m6!1e1!3m4!1slqIj_6F0Q2JuYtlVLkLSSg!2e0!7i13312!8i6656",The Holy Bible. Inspired. Absolute. Final.,15-Sep,Y,,Y,https://s18.postimg.org/4z5exa3u1/704.png
717,38.157,-88.913,Illinois,IL,,"https://www.google.com/maps/@38.1574874,-88.9135319,3a,50.4y,133.85h,92.96t/data=!3m7!1e1!3m5!1sj12mZ1WrxQgg-Rq47lbZIA!2e0!6s%2F%2Fgeo1.ggpht.com%2Fcbk%3Fpanoid%3Dj12mZ1WrxQgg-Rq47lbZIA%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26",If you die tonight? Heaven or Hell,16-Nov,N,N,,https://s17.postimg.org/3pa352h2n/717.png
742,41.2219,-96.0032,Nebraska,NE,,"https://www.google.com/maps/@41.2236009,-96.0026241,3a,17.7y,137.87h,91.1t/data=!3m6!1e1!3m4!1sVsf2QWDy78aNfkUY1C6veg!2e0!7i13312!8i6656","After you die, you will meet God.",16-Oct,N,N,,https://s17.postimg.org/p07n99mbj/742.png
767,36.3442,-82.7897,Alabama,AL,,"https://www.google.com/maps/@36.3439124,-82.7889795,3a,30.7y,316.73h,95.15t/data=!3m6!1e1!3m4!1sBnDK22T9o016ZIStQ96baQ!2e0!7i13312!8i6656",Real Christians obey Jesus' teachings,17-Jan,Y,,Y,https://s18.postimg.org/whed1mx49/767.png
777,31.7446,-106.3309,Texas,TX,,"https://www.google.com/maps/@31.7441808,-106.3319148,3a,17.6y,69.64h,96.57t/data=!3m6!1e1!3m4!1sWRnRwcaEOTlEvxSKveD29w!2e0!7i13312!8i6656","After you die, you will meet God.",15-Sep,N,N,,https://s18.postimg.org/ig2dfr16h/777.png
778,36.9497,-77.3943,Virginia,VA,,"https://www.google.com/maps/@36.9517019,-77.3925156,3a,22.9y,225.19h,89.43t/data=!3m6!1e1!3m4!1sLUg-j1qGl-S0B2L5PX0pDg!2e0!7i13312!8i6656",If you die tonight? Heaven or Hell,16-Nov,N,N,,https://s18.postimg.org/45st4cd55/778.png
785,41.2994,-105.6035,Wyoming,WY,,"https://www.google.com/maps/place/@41.2994,-105.6035,17z",Jesus your only way to God.,16-Nov,N,N,,https://s17.postimg.org/db3nlcl33/785.png
900,38.818734,-91.110853,Montana,MO,,"https://www.google.com/maps/@38.818617,-91.1121333,3a,17.7y,42h,93.76t/data=!3m6!1e1!3m4!1sa7_uzn-pWi-ojWQcguXfKQ!2e0!7i13312!8i6656",Has the TRUTH set you free?,16-Nov,N,N,,https://s17.postimg.org/kpszdyjvz/900.png
919,39.81,-85.942,Indiana,IN,,"https://www.google.com/maps/@39.8099264,-85.9432687,3a,29.1y,191.71h,92.54t/data=!3m6!1e1!3m4!1sPfeLkr3v9WAHJsBENhifmQ!2e0!7i13312!8i6656",Jesus your only way to God.,15-Sep,N,N,,https://s17.postimg.org/cx2bm0127/919.png
1116,47.205969,-114.934105,Montana,MT,,"https://www.google.com/maps/@37.6961719,-113.0766418,3a,75y,61.47h,83.04t/data=!3m6!1e1!3m4!1sAqHbXqiYT3ZeShyTzAlz6w!2e0!7i13312!8i6656",Have you lost faith in God?,15-Jul,N,N,,https://s17.postimg.org/hk8dnr19r/1116.png
1231,36.1585,-84.0708,Tennessee,TN,,"https://www.google.com/maps/@36.1570997,-84.070358,3a,75y,83.26h,111.32t/data=!3m6!1e1!3m4!1sr75wz7VxcB7x-Xva_VqQSA!2e0!7i13312!8i6656",In the beginning GOD CREATED.,,N,N,,https://s18.postimg.org/tyso11yk9/1231.png
1234,38.0473,-87.4736,Indiana,IN,,"https://www.google.com/maps/@38.046743,-87.4741375,3a,65.3y,63.62h,86.96t/data=!3m6!1e1!3m4!1sveLrnemsKfBy3gMoZGswSQ!2e0!7i13312!8i6656",The Holy Bible. Inspired. Absolute. Final.,15-Jul,Y,,Y,https://s17.postimg.org/9dgdvznzz/1234.png
1237,31.544,-81.445,Georgia,GA,,"https://www.google.com/maps/@31.5433403,-81.4444099,3a,55.2y,340.14h,91.68t/data=!3m6!1e1!3m4!1sYfKyJJBMOWbnbk1K32cWHQ!2e0!7i13312!8i6656",Jesus your only way to God.,17-Jan,N,N,,https://s18.postimg.org/z2fcbmf6h/1237.png
1239,32.5777,-95.8565,Texas,TX,,"https://www.google.com/maps/@32.5787567,-95.8564121,3a,26y,194.82h,101.74t/data=!3m6!1e1!3m4!1snD7JjfGuYOn6mIFFLvG6fg!2e0!7i13312!8i6656","After you die, you will meet God.",17-Feb,N,N,,https://s18.postimg.org/i3az9qqo9/1239.png
1240,30.1701,-90.8758,Louisiana,LA,,"https://www.google.com/maps/@30.1713674,-90.8762227,3a,39.5y,179.15h,91.23t/data=!3m6!1e1!3m4!1szM9oVn4EUIGm2NfnPmTTtA!2e0!7i13312!8i6656",In despair? Jesus is your hope!,16-Dec,N,N,,https://s18.postimg.org/ienu8tf6h/0_1240.png
1248,45.9168,-94.3439,Minnesota,MN,,"https://www.google.com/maps/@45.9173133,-94.3441942,3a,75y,159.35h,103.34t/data=!3m6!1e1!3m4!1sq8ANZ446QmHeT3J82nDDdw!2e0!7i13312!8i6656",Where are you going? Heaven or Hell,15-Nov,N,N,,https://s17.postimg.org/sjtkz9rnz/1248.png
1252,37.8938,-88.9461,Illinois,IL,,"https://www.google.com/maps/@37.8933468,-88.9457021,3a,15y,308.14h,101.59t/data=!3m6!1e1!3m4!1sa2snC6PdO-OqyGA_8xQTcA!2e0!7i13312!8i6656",Jesus your only way to God.,16-Nov,N,N,,https://s17.postimg.org/51rs7048f/1252.png
1253,32.3497,-88.7337,Mississippi,MS,,"https://www.google.com/maps/@32.3492056,-88.7323523,3a,45.6y,330.55h,92.39t/data=!3m6!1e1!3m4!1s2eZtVQKim8Mh3_xknvAUtw!2e0!7i13312!8i6656",Jesus your only way to God.,16-Jul,N,N,,https://s18.postimg.org/5bwt3595l/1253.png
