markets	billboard_number	message_audience
Less bible-minded	83	Message Not Available
Less bible-minded	15	Non-Christians
Less bible-minded	8	Christians
Top 100 most bible-minded	279	Message Not Available
Top 100 most bible-minded	53	Non-Christians
Top 100 most bible-minded	23	Christians
Total	362	Message Not Available
Total	68	Non-Christians
Total	31	Christians
