markets,dma,name,bible_minded_ranking,top_bible_minded_y_n,cartodb_id,"marketpop,N,24,15",point_count,point_count_n,point_count_y
SACRAMNTO-STKTN-MODESTO,862,SACRAMNTO-STKTN-MODESTO,79,Y,203,4035532,5,3,2
FRESNO-VISALIA,866,FRESNO-VISALIA,71,Y,204,1950518,2,2,0
GREENSBORO-H.POINT-W.SALEM,518,GREENSBORO-H.POINT-W.SALEM,21,Y,19,1755436,4,2,2
"CHARLESTON, SC",519,"CHARLESTON, SC",41,Y,20,797942,0,0,0
"ROCHESTER, NY",538,"ROCHESTER, NY",85,Y,39,1036654,0,0,0
SYRACUSE,555,SYRACUSE,74,Y,56,1032160,1,0,1
RICHMOND-PETERSBURG,556,RICHMOND-PETERSBURG,38,Y,57,1477275,5,4,1
RALEIGH-DURHAM,560,RALEIGH-DURHAM,24,Y,61,2917511,5,3,2
"JACKSONVILLE, BRUNSWICK",561,"JACKSONVILLE, BRUNSWICK",29,Y,62,1746792,3,2,1
CHARLESTON-HUNTINGTON,564,CHARLESTON-HUNTINGTON,22,Y,64,1246234,1,1,0
HARRISBURG-LNCSTR-LEB-YORK,566,HARRISBURG-LNCSTR-LEB-YORK,62,Y,66,1810154,5,5,0
GREENVLL-SPART-ASHEVLL-AND,567,GREENVLL-SPART-ASHEVLL-AND,9,Y,67,2177441,5,5,0
SHREVEPORT,612,SHREVEPORT,4,Y,94,1058499,5,3,2
MINNEAPOLIS-ST. PAUL,613,MINNEAPOLIS-ST. PAUL,67,Y,95,4482502,8,5,3
TALLAHASSEE-THOMASVILLE,530,TALLAHASSEE-THOMASVILLE,0,,31,724514,1,1,0
,537,BANGOR,0,,38,0,0,0,0
TRAVERSE CITY-CADILLAC,540,TRAVERSE CITY-CADILLAC,0,,41,612041,1,0,1
"JACKSON, MS",718,"JACKSON, MS",15,Y,156,912800,1,1,0
PORTLAND-AUBURN,500,PORTLAND-AUBURN,86,Y,1,987088,2,2,0
CASPER-RIVERTON,767,CASPER-RIVERTON,0,,180,151320,0,0,0
MINOT-BISMARCK-DICKINSON,687,MINOT-BISMARCK-DICKINSON,0,,144,366355,1,1,0
EUREKA,802,EUREKA,0,,189,163140,0,0,0
"HUNTSVILLE-DECATUR,FLOR",691,"HUNTSVILLE-DECATUR,FLOR",12,Y,145,1018002,4,3,1
MONTEREY-SALINAS,828,MONTEREY-SALINAS,0,,200,732700,0,0,0
RENO,811,RENO,0,,194,720188,5,5,0
MEDFORD-KLAMATH FALLS,813,MEDFORD-KLAMATH FALLS,0,,195,437142,0,0,0
"SPRINGFIELD, MO",619,"SPRINGFIELD, MO",11,Y,99,1118917,3,3,0
CHATTANOOGA,575,CHATTANOOGA,1,Y,73,959670,3,2,1
BOSTON,506,BOSTON,99,Y,7,6317432,3,3,0
WILMINGTON,550,WILMINGTON,0,,51,455374,0,0,0
BILOXI-GULFPORT,746,BILOXI-GULFPORT,0,,164,367119,5,2,3
,755,GREAT FALLS,0,,170,0,1,1,0
